Year,Landings,Area
1953,39884,3NO
1954,17392,3NO
1955,6053,3NO
1956,5363,3NO
1957,9641,3NO
1958,4812,3NO
1959,3687,3NO
1960,3408,3NO
1961,5428,3NO
1962,3235,3NO
1963,5079,3NO
1964,2882,3NO
1965,4229,3NO
1966,6501,3NO
1967,3446,3NO
1968,3287,3NO
1969,3664,3NO
1970,4771,3NO
1971,2311,3NO
1972,1736,3NO
1973,1832,3NO
1974,1360,3NO
1975,1189,3NO
1976,2065,3NO
1977,2532,3NO
1978,6246,3NO
1979,9938,3NO
1980,5589,3NO
1981,6096,3NO
1982,10185,3NO
1983,11374,3NO
1984,8705,3NO
1985,18179,3NO
1986,18035,3NO
1987,18652,3NO
1988,19727,3NO
1989,13433,3NO
1990,10620,3NO
1991,12056,3NO
1992,7859,3NO
1993,5370,3NO
1994,47,3NO
1995,64,3NO
1996,99,3NO
1997,286,3NO
1998,396,3NO
1999,568,3NO
2000,207,3NO
2001,560,3NO
2002,444,3NO
2003,818,3NO
2004,442,3NO
2005,461,3NO
2006,108,3NO
2007,203,3NO
2008,247,3NO
2009,165,3NO
2010,107,3NO
2011,44,3NO
2012,26,3NO
2013,226,3NO
2014,197,3NO
2015,151,3NO
2016,147,3NO
2017,91,3NO
2018,1,3NO
2019,1,3NO
2020,1,3NO
1960,12353,3M
1961,20341,3M
1962,15907,3M
1963,33413,3M
1964,38797,3M
1965,54055,3M
1966,28956,3M
1967,37069,3M
1968,34150,3M
1969,22143,3M
1970,17995,3M
1971,24549,3M
1972,56812,3M
1973,22900,3M
1974,24938,3M
1975,22375,3M
1976,22266,3M
1977,27019,3M
1978,33131,3M
1979,29710,3M
1980,10457,3M
1981,13873,3M
1982,12753,3M
1983,10205,3M
1984,12702,3M
1985,13675,3M
1986,14518,3M
1987,10632,3M
1988,28899,3M
1989,48373,3M
1990,40827,3M
1991,16229,3M
1992,25089,3M
1993,15958,3M
1994,29916,3M
1995,10372,3M
1996,2601,3M
1997,2933,3M
1998,705,3M
1999,353,3M
2000,55,3M
2001,56,3M
2002,33,3M
2003,16,3M
2004,23,3M
2005,26,3M
2006,339,3M
2007,345,3M
2008,889,3M
2009,1172,3M
2010,9291,3M
2011,12836,3M
2012,12836,3M
2013,13985,3M
2014,14356,3M
2015,13785,3M
2016,14023,3M
2017,13928,3M
2018,11481,3M
2019,17520,3M
