Year,Landings,Area
1508,156,2J3KL
1509,203,2J3KL
1510,251,2J3KL
1511,188,2J3KL
1512,125,2J3KL
1513,125,2J3KL
1514,125,2J3KL
1515,125,2J3KL
1516,125,2J3KL
1517,125,2J3KL
1518,251,2J3KL
1519,376,2J3KL
1520,501,2J3KL
1521,125,2J3KL
1522,376,2J3KL
1523,156,2J3KL
1524,125,2J3KL
1525,376,2J3KL
1526,627,2J3KL
1527,877,2J3KL
1528,501,2J3KL
1529,125,2J3KL
1530,376,2J3KL
1531,251,2J3KL
1532,125,2J3KL
1533,251,2J3KL
1534,125,2J3KL
1535,376,2J3KL
1536,125,2J3KL
1537,1128,2J3KL
1538,376,2J3KL
1539,376,2J3KL
1540,125,2J3KL
1541,9658,2J3KL
1542,752,2J3KL
1543,1505,2J3KL
1544,251,2J3KL
1545,156,2J3KL
1546,3011,2J3KL
1547,1631,2J3KL
1548,1631,2J3KL
1549,12418,2J3KL
1550,156,2J3KL
1551,219,2J3KL
1552,219,2J3KL
1553,657,2J3KL
1554,219,2J3KL
1555,23894,2J3KL
1556,1752,2J3KL
1557,2631,2J3KL
1558,84,2J3KL
1559,11179,2J3KL
1560,8330,2J3KL
1561,6794,2J3KL
1562,657,2J3KL
1563,2409,2J3KL
1564,10741,2J3KL
1565,26084,2J3KL
1566,876,2J3KL
1567,745,2J3KL
1568,613,2J3KL
1569,482,2J3KL
1570,350,2J3KL
1571,219,2J3KL
1572,3069,2J3KL
1573,219,2J3KL
1574,1314,2J3KL
1575,4164,2J3KL
1576,1533,2J3KL
1577,3726,2J3KL
1578,2409,2J3KL
1579,2409,2J3KL
1580,3507,2J3KL
1581,1314,2J3KL
1582,3288,2J3KL
1583,2190,2J3KL
1584,657,2J3KL
1585,10301,2J3KL
1586,8285,2J3KL
1587,6268,2J3KL
1588,4252,2J3KL
1589,2235,2J3KL
1590,219,2J3KL
1591,219,2J3KL
1592,219,2J3KL
1593,219,2J3KL
1594,219,2J3KL
1595,219,2J3KL
1596,22140,2J3KL
1597,219,2J3KL
1598,3726,2J3KL
1599,4602,2J3KL
1600,3891,2J3KL
1601,20621,2J3KL
1602,23878,2J3KL
1603,3249,2J3KL
1604,10306,2J3KL
1605,17363,2J3KL
1606,10856,2J3KL
1607,9764,2J3KL
1608,18455,2J3KL
1609,22796,2J3KL
1610,31477,2J3KL
1611,24961,2J3KL
1612,30394,2J3KL
1613,49932,2J3KL
1614,37993,2J3KL
1615,18455,2J3KL
1616,21713,2J3KL
1617,6507,2J3KL
1618,10856,2J3KL
1619,14287,2J3KL
1620,128101,2J3KL
1621,16280,2J3KL
1622,2903,2J3KL
1623,10856,2J3KL
1624,8681,2J3KL
1625,6507,2J3KL
1626,81959,2J3KL
1627,157412,2J3KL
1628,122677,2J3KL
1629,13022,2J3KL
1630,13022,2J3KL
1631,13022,2J3KL
1632,13022,2J3KL
1633,13022,2J3KL
1634,13022,2J3KL
1635,13022,2J3KL
1636,29311,2J3KL
1637,21713,2J3KL
1638,21713,2J3KL
1639,28219,2J3KL
1640,21713,2J3KL
1641,39075,2J3KL
1642,16280,2J3KL
1643,21713,2J3KL
1644,21713,2J3KL
1645,21713,2J3KL
1646,26053,2J3KL
1647,21167,2J3KL
1648,16280,2J3KL
