Year,Country,Division,Species Name,Metric Tonnes
1960,CANADA NEWFOUNDLAND - CAN-N,3K,GREENLAND HALIBUT - GHL,610
1960,CANADA NEWFOUNDLAND - CAN-N,3L,GREENLAND HALIBUT - GHL,50
1960,CANADA NEWFOUNDLAND - CAN-N,3PS,GREENLAND HALIBUT - GHL,23
1960,DENMARK GREENLAND - GRL,1A,GREENLAND HALIBUT - GHL,1234
1960,DENMARK GREENLAND - GRL,1C,GREENLAND HALIBUT - GHL,143
1960,DENMARK GREENLAND - GRL,1D,GREENLAND HALIBUT - GHL,121
1960,DENMARK GREENLAND - GRL,1E,GREENLAND HALIBUT - GHL,62
1960,DENMARK GREENLAND - GRL,1F,GREENLAND HALIBUT - GHL,25
1960,FEDERAL REPUBLIC OF GERMANY - E/DEU,2J,GREENLAND HALIBUT - GHL,226
1960,FEDERAL REPUBLIC OF GERMANY - E/DEU,3L,GREENLAND HALIBUT - GHL,50
1960,FEDERAL REPUBLIC OF GERMANY - E/DEU,3K,GREENLAND HALIBUT - GHL,2
1961,CANADA NEWFOUNDLAND - CAN-N,3K,GREENLAND HALIBUT - GHL,613
1961,CANADA NEWFOUNDLAND - CAN-N,3L,GREENLAND HALIBUT - GHL,128
1961,CANADA NEWFOUNDLAND - CAN-N,3PS,GREENLAND HALIBUT - GHL,15
1961,DENMARK GREENLAND - GRL,1A,GREENLAND HALIBUT - GHL,1163
1961,DENMARK GREENLAND - GRL,1D,GREENLAND HALIBUT - GHL,107
1961,DENMARK GREENLAND - GRL,1C,GREENLAND HALIBUT - GHL,55
1961,DENMARK GREENLAND - GRL,1F,GREENLAND HALIBUT - GHL,34
1961,DENMARK GREENLAND - GRL,1E,GREENLAND HALIBUT - GHL,30
1961,DENMARK GREENLAND - GRL,1B,GREENLAND HALIBUT - GHL,13
1962,CANADA NEWFOUNDLAND - CAN-N,3K,GREENLAND HALIBUT - GHL,479
1962,CANADA NEWFOUNDLAND - CAN-N,3L,GREENLAND HALIBUT - GHL,107
1962,CANADA NEWFOUNDLAND - CAN-N,3PS,GREENLAND HALIBUT - GHL,9
1962,UNITED KINGDOM - E/GBR,3K,GREENLAND HALIBUT - GHL,2
1963,CANADA NEWFOUNDLAND - CAN-N,3K,GREENLAND HALIBUT - GHL,592
1963,CANADA NEWFOUNDLAND - CAN-N,3L,GREENLAND HALIBUT - GHL,184
1963,CANADA NEWFOUNDLAND - CAN-N,3PS,GREENLAND HALIBUT - GHL,11
1963,DENMARK GREENLAND - GRL,1A,GREENLAND HALIBUT - GHL,1671
1963,DENMARK GREENLAND - GRL,1D,GREENLAND HALIBUT - GHL,494
1963,DENMARK GREENLAND - GRL,1B,GREENLAND HALIBUT - GHL,355
1963,DENMARK GREENLAND - GRL,1C,GREENLAND HALIBUT - GHL,61
1963,DENMARK GREENLAND - GRL,1E,GREENLAND HALIBUT - GHL,48
1963,DENMARK GREENLAND - GRL,1F,GREENLAND HALIBUT - GHL,42
