"year","species_name","latin_name","country","area","gear","landings","gear_name","enskt_heiti"
"1903","Skarkoli","Pleuronectes platessa","Germany","5.a","","140","","Plaice"
"1903","Skarkoli","Pleuronectes platessa","Netherlands","5.a","","24","","Plaice"
"1904","Skarkoli","Pleuronectes platessa","Germany","5.a","","145","","Plaice"
"1904","Skarkoli","Pleuronectes platessa","Netherlands","5.a","","285","","Plaice"
"1905","Skarkoli","Pleuronectes platessa","Belgium","5.a","","44","","Plaice"
"1905","Skarkoli","Pleuronectes platessa","Germany","5.a","","194","","Plaice"
"1905","Skarkoli","Pleuronectes platessa","Netherlands","5.a","","66","","Plaice"
"1906","Skarkoli","Pleuronectes platessa","Belgium","5.a","","36","","Plaice"
"1906","Skarkoli","Pleuronectes platessa","Netherlands","5.a","","44","","Plaice"
"1906","Skarkoli","Pleuronectes platessa","United Kingdom","5.a","","9575","","Plaice"
"1907","Skarkoli","Pleuronectes platessa","Belgium","5.a","","19","","Plaice"
"1907","Skarkoli","Pleuronectes platessa","Germany","5.a","","188","","Plaice"
"1907","Skarkoli","Pleuronectes platessa","Netherlands","5.a","","8","","Plaice"
"1907","Skarkoli","Pleuronectes platessa","United Kingdom","5.a","","8860","","Plaice"
"1908","Skarkoli","Pleuronectes platessa","Belgium","5.a","","30","","Plaice"
"1908","Skarkoli","Pleuronectes platessa","Germany","5.a","","296","","Plaice"
"1908","Skarkoli","Pleuronectes platessa","Netherlands","5.a","","19","","Plaice"
"1908","Skarkoli","Pleuronectes platessa","United Kingdom","5.a","","6402","","Plaice"
"1909","Skarkoli","Pleuronectes platessa","Belgium","5.a","","33","","Plaice"
"1909","Skarkoli","Pleuronectes platessa","Germany","5.a","","305","","Plaice"
"1909","Skarkoli","Pleuronectes platessa","Netherlands","5.a","","53","","Plaice"
"1909","Skarkoli","Pleuronectes platessa","United Kingdom","5.a","","5131","","Plaice"
"1910","Skarkoli","Pleuronectes platessa","Belgium","5.a","","38","","Plaice"
